agent_backend,source_file,n_tasks,success_rate_pct,final_answer_correct_rate_pct,required_tools_called_rate_pct,tool_sequence_match_rate_pct,tool_argument_match_rate_pct,planning_success_rate_pct,format_correct_rate_pct,contains_excludes_match_rate_pct,guardrail_success_rate_pct,avg_wall_clock_time_ms,avg_request_latency_ms,avg_tool_latency_ms,avg_tool_call_count,invalid_tool_call_count,retry_count,tool_error_count,guardrail_false_positive_count,guardrail_false_negative_count,input_tokens,output_tokens,cost_usd,main_failure_types,malformed_failure_flags_count
deepseek,results/deepseek.csv,24,8.333333333333332,37.5,12.5,12.5,8.333333333333332,8.333333333333332,62.5,62.5,100.0,7146.204699999999,7062.077379166668,0.005929166666666666,0.125,0,1,0,0,0,1903,2004,0.034498,hallucinated_result:21|none:2|tool_misuse:1,0
lmstudio,results/lmstudio.csv,24,0.0,0.0,0.0,0.0,0.0,0.0,12.5,54.166666666666664,100.0,27706.25384583333,27705.91021666667,0.0,0.5416666666666666,13,28,13,0,0,4799,3398,0.014993,tool_misuse:12|hallucinated_result:12,0
rule_based,results/rule_based.csv,24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.03360833333333333,0.0,0.010554166666666665,1.5416666666666667,0,0,0,0,0,600,91,0.000873,none:24,0
