agent_backend,task_type,n_tasks,success_rate_pct,final_answer_correct_rate_pct,tool_sequence_match_rate_pct,tool_argument_match_rate_pct,avg_wall_clock_time_ms,avg_request_latency_ms,avg_tool_latency_ms
deepseek,guardrail,8,0.0,0.0,0.0,0.0,1092.7261125,433.82785,0.0
deepseek,multi_step,8,0.0,50.0,0.0,0.0,1952.3649999999998,1451.1603125000001,0.0066749999999999995
deepseek,tool_use,8,75.0,75.0,75.0,75.0,1806.1112375,1505.1180625,0.022837500000000004
lmstudio,guardrail,8,0.0,0.0,0.0,0.0,36401.1832875,36400.8641625,0.0
lmstudio,multi_step,8,0.0,0.0,0.0,0.0,32005.8788375,32005.6007125,0.0
lmstudio,tool_use,8,0.0,0.0,0.0,0.0,23517.641450000003,23517.3247625,0.0
rule_based,guardrail,8,100.0,100.0,100.0,100.0,0.0403,0.0,0.0127625
rule_based,multi_step,8,100.0,100.0,100.0,100.0,0.06365,0.0,0.0226375
rule_based,tool_use,8,100.0,100.0,100.0,100.0,0.0539375,0.0,0.0111375
