agent_backend,task_type,n_tasks,success_rate_pct,final_answer_correct_rate_pct,tool_sequence_match_rate_pct,tool_argument_match_rate_pct,avg_wall_clock_time_ms,avg_request_latency_ms,avg_tool_latency_ms
deepseek,guardrail,8,0.0,0.0,0.0,0.0,7570.4227125,7570.0400125,0.0
deepseek,multi_step,8,0.0,37.5,0.0,0.0,8194.9063625,8194.539237500001,0.0
deepseek,tool_use,8,25.0,75.0,37.5,25.0,5673.285024999999,5421.6528875,0.017787499999999998
lmstudio,guardrail,8,0.0,0.0,0.0,0.0,26122.7995,26122.4567,0.0
lmstudio,multi_step,8,0.0,0.0,0.0,0.0,34395.96205,34395.607625000004,0.0
lmstudio,tool_use,8,0.0,0.0,0.0,0.0,22599.9999875,22599.666325,0.0
rule_based,guardrail,8,100.0,100.0,100.0,100.0,0.028825,0.0,0.0103875
rule_based,multi_step,8,100.0,100.0,100.0,100.0,0.03995,0.0,0.0132
rule_based,tool_use,8,100.0,100.0,100.0,100.0,0.03205,0.0,0.008075
